Title,Location,Date,Works,More Info,Performer,VideoLink
"""First Draughts"" Reading Session","Bush Memorial Hall, Goldberg Auditorium, Russell Sage College, 1st Street, Troy, NY, USA",6/8/25,on a warm evening,,"Albany Symphony's ""Dogs of Desire"" Ensemble",
Armed Forces Day Concert,"United States Naval Academy, Blake Road, Annapolis, MD, USA",5/20/23,Sail Away!,Composer Competition Winner,Naval Academy Band,https://youtu.be/OGjiXD7dr14
Asian American Resource Center Lunar New Year Celebration,"Asian American Resource Center, Cameron Road, Austin, TX, USA",1/28/23,"New Horizons Variations
Bubblegum K.K.",,Asian Memory Project,https://youtu.be/yS5Szh5Rhkc
Brass Suite in Bb Major,"Ann Arbor, MI, USA",12/6/25,Brass Suite in Bb Major,,Ann Arbor Area Community Brass Choir,
Celebration of Life of Edward Avedisian,"University Christian Church, University Avenue, Austin, Texas, USA",3/31/23,A Song of Celebration,Commission,First Armenian Church Orchestra,https://youtu.be/JFYeEonUMPk
Chamber Players at the Gordon Center,"Peggy and Yale Gordon Center For Performing Arts, Gwynnbrook Avenue, Owings Mills, MD, USA",1/30/25,Sail Away!,,Naval Academy Band,
CLUTCH,"Britton Recital Hall, Baits Drive, Ann Arbor, MI, USA",3/29/23,"""3. Scholar"" from Hahoetal
""11. Finale"" from Hahoetal",Composition Studio Concert,Student Ensemble,https://youtu.be/RERh_OY0w9k
CLUTCH,"Music Building and Recital Hall, Austin, TX, USA",11/9/22,"""i. introduction"" from liminal",Composition Studio Concert,Student Ensemble,https://youtu.be/FdwklXlhp34
CLUTCH,"Music Building and Recital Hall, Austin, TX, USA",10/11/22,"""4. Bride"" from Hahoetal
""6. Monk"" from Hahoetal",Composition Studio Concert,Student Ensemble,https://youtu.be/RjK9FfPWDn8
CLUTCH,Virtual Concert,,Greenfield,Composition Studio Concert,,
Composer's Concert,"Britton Recital Hall, Baits Drive, Ann Arbor, MI, USA",3/11/24,Airborne Suite,,Student Ensemble,
Composers Concert,"Britton Recital Hall, Baits Drive, Ann Arbor, MI, USA",2/10/25,Duality,,Student Ensemble,https://youtu.be/QLJfAUVPLwM
CONNECTIONS Concert,"Washtenaw Community College, East Huron River Drive, Ann Arbor, MI, USA",4/6/25,Declaration,,Ann Arbor Area Community Brass Band,https://youtu.be/IKJiJTLoS1s
Evening of Ensembles,"Silver Maples of Chelsea, Silver Maples Drive, Chelsea, MI, USA",1/31/25,Declaration,,Ann Arbor Area Community Brass Band,https://youtu.be/PQMQHqvJ7Kw
Greater Austin Asian Chamber of Commerce 10 Year Celebration,"JW Marriott Austin, East 2nd Street, Austin, TX, USA",12/3/22,Galactic Suite,,Asian Memory Project,
IDRS Conference,"Peggy and Yale Gordon Center For Performing Arts, Gwynnbrook Avenue, Owings Mills, MD, USA",7/21/24,IDRS Suite No. 1,Composer Competition Winner,University of Arizona Double Reed Ensemble,
New Music Concert,"Hill Auditorium, North University Avenue, Ann Arbor, MI, USA",2/13/25,Aurora,,University of Michigan Philharmonic Orchestra,https://youtu.be/-xzdthOCYpQ
New Music Concert,"Music Building and Recital Hall, Austin, TX, USA",4/11/22,Manor Chase,,UT New Music Ensemble,https://youtu.be/1fXE871QcJA
Nintendo Cafe,"Austin Public Library, Central, West Cesar Chavez Street, Austin, TX, USA",5/27/23,"New Horizons Variations
Bubblegum K.K.",,Asian Memory Project,https://youtu.be/PAMR0Q6EtuQ
Recital,"University Christian Church, University Avenue, Austin, Texas, USA",4/2/23,Cascades,,Student Ensemble,
Recital,,2/20/23,"arr. of ""Mystery of Love""",,,
Red Note Festival 2024,"Illinois State University, North University Street, Normal, IL, USA",3/27/24,Pathways,Composer Competition Winner,Illinois State University Wind Symphony,https://youtu.be/YZEams68QDs
Screen Music Program,"Conservatorio di musica Franco Vittadini, Via Volta, Pavia, Province of Pavia, Italy",8/10/25,Legend of Zelda Rescore,,,
Senior Composition Recital,"Music Building and Recital Hall, Austin, TX, USA",4/2/23,Sunset Bird,,Student Ensemble,https://youtu.be/iyqI6_b5RI8
Studio Ghibli Tribute 1,"Music Building and Recital Hall, Austin, TX, USA",4/15/22,Arrangements of music by Joe Hisaishi,,Asian Memory Project,https://youtu.be/36f0lq8dF6g
Studio Ghibli Tribute 2,"Music Building and Recital Hall, Austin, TX, USA",4/22/22,Arrangements of music by Joe Hisaishi,,Asian Memory Project,
Studio Ghibli Tribute 3,"Austin Public Library, Central, West Cesar Chavez Street, Austin, TX, USA",,Arrangements of music by Joe Hisaishi,,Asian Memory Project,https://youtu.be/zmE416dsgzE
Studio Ghibli Tribute 4,"Austin Public Library, Central, West Cesar Chavez Street, Austin, TX, USA",7/30/22,"Arrangements of music by Joe Hisaishi
""1. Seagulls"" from Sunset Bird",,Asian Memory Project,https://youtu.be/ne2iW1B4rf8
Studio Ghibli Tribute 5,"Austin Public Library, Central, West Cesar Chavez Street, Austin, TX, USA",7/29/22,Arrangements of music by Joe Hisaishi,,Asian Memory Project,
Transcendence,"Brooklyn Art Haus, Marcy Avenue, Brooklyn, NY, USA",10/13/23,"""Madeline"" & ""Mr. Oshiro"" from Celeste Suite",Composer Competition Winner,Press Start Orchestra,
VELOCITY Concert,"Washtenaw Community College, East Huron River Drive, Ann Arbor, MI, USA",2/27/25,Mach 1,Composer Competition Winner,Washtenaw Community Concert Band,https://youtu.be/MUFmgTauKUw
